,race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
0,black,male,2018-12-01,60637,67486,home,5.999066919658372,360,423122,True,2.27,AP201812-3-88
1,black,female,2016-11-01,60637,13364,auto,7.689934864878209,72,11750,False,0.41,AP201611-2-94
2,black,female,2015-03-01,60614,144718,home,3.1310353476722295,360,832192,True,0.11,AP20153-1-52
3,black,female,2017-10-01,60623,34062,auto,7.365359649177597,72,18123,True,1.15,AP201710-3-6
4,other,male,2016-03-01,60637,65824,home,3.9190392258986138,360,496113,False,0.36,AP20163-1-67
5,black,female,2013-02-01,60637,3685,home,6.168191121902554,360,27993,False,0.15,AP20132-1-57
6,white,female,2018-06-01,60614,129370,auto,6.721796823145243,84,21261,True,1.82,AP20186-0-41
7,hispanic/latino,male,2012-03-01,60625,60716,home,5.64841718834522,240,418491,True,0.13,AP20123-1-91
8,white,male,2014-03-01,60614,44328,auto,3.1619413747449436,72,3382,False,0.08,AP20143-3-81
9,black,female,2011-02-01,60623,712,auto,5.718368013517401,60,14788,False,0.16,AP20112-0-60
10,white,male,2018-07-01,60614,193934,auto,4.811207554026955,60,222368,True,1.91,AP20187-2-72
11,hispanic/latino,male,2017-08-01,60623,40351,personal,11.551121580323922,60,3035,False,1.16,AP20178-2-6
12,white,female,2015-07-01,60611,12520,personal,4.8764966219820485,12,3073,False,0.13,AP20157-3-38
13,black,male,2015-01-01,60626,30849,personal,6.61354692912714,60,13264,True,0.11,AP20151-2-24
14,white,female,2012-06-01,60614,149143,auto,3.9718082417889935,72,113521,True,0.16,AP20126-1-32
15,other,female,2013-08-01,60615,1603,auto,5.949350564806125,84,15409,False,0.08,AP20138-0-3
16,white,male,2013-10-01,60625,68875,home,3.809822514864739,360,503141,True,0.09,AP201310-3-81
17,asian,male,2016-01-01,60625,68939,home,4.5487313959042925,180,459546,False,0.34,AP20161-3-90
18,black,female,2011-07-01,60623,16357,personal,9.119781181133598,18,5509,False,0.07,AP20117-1-12
19,black,female,2013-02-01,60623,34113,personal,20.575716092278366,12,6646,False,0.15,AP20132-3-99
20,hispanic/latino,male,2012-01-01,60623,37053,home,1.8487821449408983,300,302093,False,0.08,AP20121-3-59
21,black,female,2015-03-01,60623,3083,auto,5.000645354019313,60,14776,False,0.11,AP20153-2-47
22,white,female,2016-07-01,60623,19448,home,1.9751572805037005,300,159413,False,0.39,AP20167-2-29
23,other,male,2013-01-01,60637,67985,home,2.654992581684511,300,390811,False,0.14,AP20131-1-78
24,white,female,2017-07-01,60614,31741,personal,8.808741591998972,48,3705,False,1.15,AP20177-2-85
25,asian,male,2016-04-01,60615,79090,auto,6.883032755068575,72,57175,False,0.37,AP20164-1-22
26,hispanic/latino,male,2017-11-01,60626,32815,auto,5.5396716429226,84,10111,False,1.16,AP201711-2-31
27,black,male,2011-09-01,60625,79441,home,3.5839738522732714,360,559197,True,0.08,AP20119-0-54
28,black,male,2016-12-01,60615,59661,home,1.2019006501814355,240,478318,False,0.54,AP201612-3-53
29,black,female,2016-04-01,60623,20204,personal,12.531874147243025,18,5740,False,0.37,AP20164-2-76
30,white,female,2017-07-01,60611,191423,auto,5.766559706566575,60,29350,True,1.15,AP20177-2-32
