race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
black,female,2017-02-01,60637,,personal,12.980291734451848,60,,True,0.66,AP20172-0-81
white,female,2018-10-01,60626,1057.0,personal,19.74200625554338,48,421.0,False,2.19,AP201810-0-53
white,male,2013-01-01,60637,10975.0,home,0.20994446976758085,300,61135.0,False,0.14,AP20131-2-85
black,female,2017-08-01,60615,12399.0,auto,6.150638885099158,72,8364.0,False,1.16,AP20178-3-93
black,female,2013-02-01,60623,51780.0,personal,17.602768669282717,60,,True,0.15,AP20132-2-60
black,female,2018-10-01,60615,51826.0,auto,7.773380903992244,84,70695.0,False,2.19,AP201810-0-35
hispanic/latino,male,2014-08-01,60614,92132.0,home,,240,609691.0,True,0.09,AP20148-1-51
other,female,2017-01-01,60625,91884.0,auto,6.226264218879452,72,2336.0,False,0.65,AP20171-1-49
other,female,2017-08-01,60626,,personal,14.360619914073041,24,9270.0,True,1.16,AP20178-0-45
other,male,2014-12-01,60637,71847.0,auto,5.314025627152992,60,28446.0,False,0.12,AP201412-1-87
white,male,2015-01-01,60625,189685.0,home,4.6016079581544505,360,1459944.0,True,0.11,AP20151-1-39
other,male,2018-01-01,60611,178603.0,personal,11.01580370461529,18,30992.0,True,1.41,AP20181-1-80
asian,male,2016-11-01,60615,150675.0,personal,8.721822733839943,18,2663.0,False,0.41,AP201611-1-60
black,male,2013-10-01,60611,224764.0,home,3.343563331244686,180,1822776.0,False,0.09,AP201310-3-58
black,male,2013-06-01,60637,11125.0,home,2.582826225113119,360,68569.0,False,0.09,AP20136-0-39
other,female,2015-04-01,60623,8136.0,personal,11.445953728616914,18,,False,0.12,AP20154-2-89
black,female,2011-02-01,60615,25218.0,personal,12.644321717293048,60,2549.0,False,0.16,AP20112-2-39
black,female,2013-11-01,60637,8041.0,auto,4.561588699817904,60,4208.0,False,0.08,AP201311-1-32
indian,male,2014-12-01,60611,64755.0,home,5.007206050373799,360,361491.0,True,0.12,AP201412-0-58
black,male,2016-01-01,60625,81079.0,auto,5.7955319456918115,72,47247.0,True,0.34,AP20161-3-59
white,male,2018-03-01,60625,112358.0,home,4.425238438135474,300,482047.0,True,1.51,AP20183-2-37
asian,female,2015-12-01,60637,6175.0,personal,12.74690485350476,48,223.0,False,0.24,AP201512-3-83
asian,female,2017-06-01,60611,116098.0,auto,4.390544968314284,72,37507.0,True,1.04,AP20176-3-34
other,female,2018-05-01,60614,,auto,9.794155481636617,60,15192.0,True,1.7,AP20185-2-39
hispanic/latino,male,2012-08-01,60623,,home,4.351455638394786,360,180311.0,False,0.13,AP20128-2-8
hispanic/latino,male,2014-09-01,60625,119998.0,home,2.436378195119315,360,717583.0,True,0.09,AP20149-2-71
white,male,2017-12-01,60625,188679.0,home,1.9753160029890189,360,1051010.0,True,1.3,AP201712-0-14
black,male,2015-04-01,60637,3271.0,auto,5.682395853310866,84,,False,0.12,AP20154-0-69
other,female,2015-04-01,60611,173567.0,personal,13.812703752969194,48,16287.0,True,0.12,AP20154-3-38
black,male,2018-03-01,60615,118387.0,auto,6.797527338953208,84,81151.0,False,1.51,AP20183-1-67
hispanic/latino,male,2013-08-01,60623,47985.0,personal,5.894973895070623,24,4420.0,False,0.08,AP20138-3-60
black,female,2012-02-01,60615,44156.0,personal,18.25239969090665,24,7325.0,True,0.1,AP20122-0-67
hispanic/latino,male,2017-04-01,60623,40932.0,personal,6.47680522013657,12,2449.0,False,0.9,AP20174-2-20
black,female,2013-05-01,60623,25301.0,personal,17.792403545202944,60,2777.0,True,0.11,AP20135-2-44
black,male,2018-05-01,60623,43652.0,auto,6.817748232216447,60,25795.0,False,1.7,AP20185-2-27
